,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
893,815                               | 112.878 |   0.659   0.001   0.000 |,,,,,,,multimodal,0.018,0.011,-0.01
894,814                               |  98.253 |  -1.180   0.003   0.000 |,,,,,,,involves,0.015,0.011,-0.023
895,813                               | 119.421 |  -1.050   0.002   0.000 |,,,,,,,post,0.013,0.011,0.029
896,812                               | 104.519 |   1.526   0.005   0.000 |,,,,,,,scoring,0.013,0.011,-0.006
897,811                               |  99.756 |  -0.555   0.001   0.000 |,,,,,,,immense,0.011,0.011,-0.026
898,810                               | 115.920 |  -0.746   0.001   0.000 |,,,,,,,straightforward,0.009,0.011,-0.012
899,809                               |  96.955 |   1.376   0.004   0.000 |,,,,,,,baselines,0.008,0.011,-0.001
900,808                               |  90.159 |  -0.527   0.001   0.000 |,,,,,,,multisession,0.008,0.011,-0.001
901,807                               | 112.213 |  -1.281   0.003   0.000 |,,,,,,,opendomain,0.008,0.011,-0.001
902,806                               | 114.248 |  -1.193   0.003   0.000 |,,,,,,,recursively,0.008,0.011,-0.001
903,805                               | 112.919 |  -0.271   0.000   0.000 |,,,,,,,textdavinci,0.008,0.011,-0.001
904,804                               | 109.182 |   2.215   0.010   0.000 |,,,,,,,utterances,0.008,0.011,-0.001
905,803                               |  96.897 |  -0.983   0.002   0.000 |,,,,,,,constraints,0.008,0.011,-0.005
906,802                               | 147.324 |  -0.430   0.000   0.000 |,,,,,,,captioning,0.008,0.011,-0.005
907,801                               | 141.834 |  -1.681   0.006   0.000 |,,,,,,,imagebindllm,0.008,0.011,-0.005
908,800                               | 118.437 |  -0.543   0.001   0.000 |,,,,,,,imagerelated,0.008,0.011,-0.005
909,799                               |  90.546 |  -1.154   0.003   0.000 |,,,,,,,improves,0.008,0.011,-0.005
910,798                               | 122.576 |   0.689   0.001   0.000 |,,,,,,,multimodality,0.008,0.011,-0.005
911,797                               | 120.020 |  -0.505   0.001   0.000 |,,,,,,,awesome,0.007,0.011,-0.03
912,795                               | 101.425 |  -1.124   0.003   0.000 |,,,,,,,betterment,0.007,0.011,-0.03
913,794                               |  73.987 |   0.240   0.000   0.000 |,,,,,,,donate,0.007,0.011,-0.03
914,793                               | 125.625 |  -0.299   0.000   0.000 |,,,,,,,inserter,0.007,0.011,-0.03
915,792                               |  98.231 |  -0.228   0.000   0.000 |,,,,,,,medieval,0.007,0.011,-0.03
916,791                               | 105.732 |  -0.459   0.000   0.000 |,,,,,,,pneumatic,0.007,0.011,-0.03
917,790                               |  89.088 |  -1.095   0.003   0.000 |,,,,,,,referring,0.007,0.011,-0.03
918,789                               |  94.689 |  -1.381   0.004   0.000 |,,,,,,,shooting,0.007,0.011,-0.03
919,788                               |  74.983 |  -1.074   0.002   0.000 |,,,,,,,signature,0.007,0.011,-0.03
920,787                               |  91.943 |  -1.020   0.002   0.000 |,,,,,,,spacex,0.007,0.011,-0.03
921,786                               | 118.043 |  -1.134   0.003   0.000 |,,,,,,,spiky,0.007,0.011,-0.03
922,784                               | 107.607 |  -1.383   0.004   0.000 |,,,,,,,torture,0.007,0.011,-0.03
923,783                               |  71.319 |  -0.924   0.002   0.000 |,,,,,,,tweet,0.007,0.011,-0.03
924,782                               |  53.156 |  -0.262   0.000   0.000 |,,,,,,,unequivocally,0.007,0.011,-0.03
925,781                               |  74.416 |   0.517   0.001   0.000 |,,,,,,,wealthiest,0.007,0.011,-0.03
926,780                               | 118.622 |  -1.240   0.003   0.000 |,,,,,,,facilitates,0.006,0.011,0
927,779                               | 103.607 |  -0.498   0.001   0.000 |,,,,,,,variables,0.006,0.011,-0.008
928,778                               |  63.205 |  -0.845   0.002   0.000 |,,,,,,,studys,0.006,0.011,-0.01
929,777                               |  58.569 |  -0.301   0.000   0.000 |,,,,,,,exist,0.005,0.011,-0.004
930,775                               |  65.121 |  -1.415   0.004   0.000 |,,,,,,,missing,0.005,0.011,-0.007
931,774                               |  74.853 |  -0.338   0.000   0.000 |,,,,,,,organism,0.005,0.011,-0.01
932,772                               | 105.657 |  -1.122   0.003   0.000 |,,,,,,,unlabeled,0.004,0.011,-0.003
933,770                               | 165.680 |   0.460   0.000   0.000 |,,,,,,,gene,0.004,0.011,-0.007
934,766                               | 160.509 |  -1.279   0.003   0.000 |,,,,,,,controlled,0.004,0.011,-0.007
935,765                               |  87.400 |  -1.267   0.003   0.000 |,,,,,,,optimization,0.004,0.011,-0.013
936,764                               |  81.378 |  -1.495   0.005   0.000 |,,,,,,,brakes,0.004,0.011,-0.021
937,763                               | 116.088 |  -0.739   0.001   0.000 |,,,,,,,cart,0.004,0.011,-0.021
938,762                               |  72.972 |  -0.621   0.001   0.000 |,,,,,,,crippled,0.004,0.011,-0.021
939,761                               |  87.172 |  -0.718   0.001   0.000 |,,,,,,,crispredited,0.004,0.011,-0.021
940,760                               |  69.976 |  -0.597   0.001   0.000 |,,,,,,,crisprmodified,0.004,0.011,-0.021
941,759                               |  67.824 |  -1.331   0.004   0.000 |,,,,,,,enrich,0.004,0.011,-0.021
942,758                               |  43.502 |  -1.112   0.003   0.001 |,,,,,,,infused,0.004,0.011,-0.021
943,757                               |  33.931 |  -1.157   0.003   0.001 |,,,,,,,months—versus,0.004,0.011,-0.021
944,756                               |  55.176 |  -1.140   0.003   0.000 |,,,,,,,nyeso,0.004,0.011,-0.021
945,755                               |  58.995 |  -0.967   0.002   0.000 |,,,,,,,persisted,0.004,0.011,-0.021
946,754                               |  86.880 |  -1.275   0.003   0.000 |,,,,,,,sentries,0.004,0.011,-0.021
947,752                               |  41.968 |  -1.189   0.003   0.001 |,,,,,,,teeming,0.004,0.011,-0.021
948,751                               |  92.944 |  -1.439   0.004   0.000 |,,,,,,,appeared,0.004,0.011,-0.028
949,750                               |  58.406 |  -1.339   0.004   0.001 |,,,,,,,navigating,0.003,0.011,0.004
950,749                               |  57.022 |  -0.529   0.001   0.000 |,,,,,,,automatic,0.003,0.011,-0.004
951,748                               |  73.448 |  -1.177   0.003   0.000 |,,,,,,,nanoscale,0.003,0.011,-0.009
952,747                               | 106.426 |  -1.449   0.004   0.000 |,,,,,,,solar,0.002,0.011,0.001
953,746                               |  83.403 |  -1.523   0.005   0.000 |,,,,,,,subatomic,0.002,0.011,0.001
954,745                               |  48.291 |  -1.390   0.004   0.001 |,,,,,,,substrate,0.002,0.011,0.001
955,744                               |  79.506 |   0.455   0.000   0.000 |,,,,,,,tunable,0.002,0.011,0.001
956,743                               | 101.152 |  -0.674   0.001   0.000 |,,,,,,,vapor,0.002,0.011,0.001
957,742                               |  92.306 |  -0.897   0.002   0.000 |,,,,,,,suggest,0.002,0.011,-0.001
958,741                               | 100.789 |  -0.707   0.001   0.000 |,,,,,,,retrieve,0.001,0.011,0.005
959,740                               |  93.472 |  -1.427   0.004   0.000 |,,,,,,,depending,0.001,0.011,-0.002
960,739                               |  41.052 |  -1.071   0.002   0.001 |,,,,,,,builder,0,0.011,0.002
961,738                               |  73.214 |  -1.322   0.004   0.000 |,,,,,,,criminals,0,0.011,0.002
962,737                               |  77.231 |  -1.534   0.005   0.000 |,,,,,,,trojan,0,0.011,0.002
963,736                               |  89.010 |  -1.218   0.003   0.000 |,,,,,,,shorter,0,0.011,0.001
964,735                               |  68.034 |  -1.481   0.005   0.000 |,,,,,,,anterior,0,0.011,-0.001
965,734                               |  77.407 |  -0.972   0.002   0.000 |,,,,,,,cingulate,0,0.011,-0.001
966,733                               |  94.170 |  -1.716   0.006   0.000 |,,,,,,,fmri,0,0.011,-0.001
967,732                               |  76.190 |  -1.525   0.005   0.000 |,,,,,,,prefrontal,0,0.011,-0.001
968,731                               |  84.467 |  -1.682   0.006   0.000 |,,,,,,,rumination,0,0.011,-0.001
969,730                               |  83.880 |  -1.544   0.005   0.000 |,,,,,,,ruminations,0,0.011,-0.001
970,729                               | 124.326 |  -0.945   0.002   0.000 |,,,,,,,uncover,0,0.011,-0.001
971,727                               | 119.023 |   0.314   0.000   0.000 |,,,,,,,retain,0,0.011,-0.006
972,726                               | 108.182 |  -0.336   0.000   0.000 |,,,,,,,lstm,0,0.011,-0.008
973,725                               | 106.127 |  -0.307   0.000   0.000 |,,,,,,,corresponding,-0.001,0.011,-0.005
974,723                               |  69.076 |  -1.056   0.002   0.000 |,,,,,,,what,-0.001,0.011,-0.011
975,722                               | 106.238 |  -1.205   0.003   0.000 |,,,,,,,methods,-0.001,0.011,-0.021
976,721                               |  79.559 |  -1.058   0.002   0.000 |,,,,,,,trauma,-0.002,0.011,0.001
977,720                               |  68.756 |   2.124   0.010   0.001 |,,,,,,,renowned,-0.002,0.011,0
978,719                               |  73.340 |  -1.012   0.002   0.000 |,,,,,,,activated,-0.002,0.011,0
979,718                               |  68.181 |  -1.027   0.002   0.000 |,,,,,,,aged,-0.002,0.011,0
980,717                               |  79.998 |  -1.202   0.003   0.000 |,,,,,,,cardiac,-0.002,0.011,0
981,716                               |  55.698 |  -0.776   0.001   0.000 |,,,,,,,cocktail,-0.002,0.011,0
982,715                               |  68.271 |  -1.085   0.003   0.000 |,,,,,,,rapamycin,-0.002,0.011,0
983,713                               |  70.816 |  -1.096   0.003   0.000 |,,,,,,,reversed,-0.002,0.011,0
984,712                               |  76.039 |   0.352   0.000   0.000 |,,,,,,,thereby,-0.002,0.011,0
985,711                               |  73.007 |   1.515   0.005   0.000 |,,,,,,,youthful,-0.002,0.011,0
986,710                               |  40.850 |  -1.157   0.003   0.001 |,,,,,,,spinal,-0.002,0.011,-0.002
987,709                               | 110.708 |  -1.304   0.004   0.000 |,,,,,,,after,-0.002,0.011,-0.003
988,708                               |  81.951 |  -1.137   0.003   0.000 |,,,,,,,layers,-0.002,0.011,-0.005
989,707                               |  78.854 |  -1.269   0.003   0.000 |,,,,,,,bloodbrain,-0.003,0.011,-0.001
990,706                               |  75.336 |  -1.070   0.002   0.000 |,,,,,,,fibers,-0.003,0.011,-0.001
991,705                               |  76.205 |  -1.219   0.003   0.000 |,,,,,,,insulating,-0.003,0.011,-0.001
992,701                               |  58.685 |  -1.120   0.003   0.000 |,,,,,,,interrupting,-0.003,0.011,-0.001
993,700                               | 136.522 |   1.396   0.004   0.000 |,,,,,,,overreacting,-0.003,0.011,-0.001
994,699                               | 140.863 |   8.138   0.141   0.003 |,,,,,,,overzealous,-0.003,0.011,-0.001
995,698                               |  62.864 |  -0.459   0.000   0.000 |,,,,,,,redirecting,-0.003,0.011,-0.001
996,697                               | 107.587 |   0.239   0.000   0.000 |,,,,,,,regeneration,-0.003,0.011,-0.001
997,696                               | 114.694 |  -0.615   0.001   0.000 |,,,,,,,reprogramming,-0.003,0.011,-0.001
998,695                               |  78.930 |  -0.504   0.001   0.000 |,,,,,,,scar,-0.003,0.011,-0.001
999,694                               |  70.941 |  -0.366   0.000   0.000 |,,,,,,,sheaths,-0.003,0.011,-0.001
1000,693                               |  84.613 |  -0.712   0.001   0.000 |,,,,,,,incremental,-0.003,0.011,-0.003
1001,692                               |  91.947 |  -0.870   0.002   0.000 |,,,,,,,proteins,-0.003,0.011,-0.006
1002,691                               | 103.118 |  -1.315   0.004   0.000 |,,,,,,,scalable,-0.003,0.011,-0.015
1003,690                               | 129.623 |  -0.343   0.000   0.000 |,,,,,,,treating,-0.003,0.011,-0.026
1004,689                               |  86.907 |  -1.105   0.003   0.000 |,,,,,,,steaks,-0.004,0.011,-0.001
1005,688                               |  64.803 |   0.224   0.000   0.000 |,,,,,,,braincomputer,-0.004,0.011,-0.019
1006,687                               | 114.273 |  -0.979   0.002   0.000 |,,,,,,,blocks,-0.005,0.011,-0.008
1007,686                               |  93.320 |  -1.229   0.003   0.000 |,,,,,,,ecofriendly,-0.006,0.011,-0.002
1008,685                               | 154.914 |  -1.098   0.003   0.000 |,,,,,,,multisensory,-0.006,0.011,-0.002
1009,684                               | 147.078 |  -0.990   0.002   0.000 |,,,,,,,paving,-0.006,0.011,-0.002
1010,683                               |  44.626 |  -0.854   0.002   0.000 |,,,,,,,tested,-0.006,0.011,-0.003
1011,682                               | 132.965 |  -0.915   0.002   0.000 |,,,,,,,small,-0.006,0.011,-0.011
1012,681                               |  82.655 |  -0.923   0.002   0.000 |,,,,,,,positive,-0.006,0.011,-0.012
1013,680                               |  63.761 |  -0.701   0.001   0.000 |,,,,,,,toward,-0.007,0.011,-0.001
1014,679                               |  43.875 |  -0.681   0.001   0.000 |,,,,,,,penn,-0.007,0.011,-0.003
1015,678                               |  56.959 |  -0.910   0.002   0.000 |,,,,,,,skin,-0.008,0.011,-0.003
1016,677                               |  76.592 |  -0.280   0.000   0.000 |,,,,,,,revealed,-0.009,0.011,0.007
1017,676                               |  65.828 |  -0.692   0.001   0.000 |,,,,,,,electrodes,-0.01,0.011,-0.011
1018,675                               |  57.300 |  -0.672   0.001   0.000 |,,,,,,,neuralink,-0.011,0.011,-0.015
1019,674                               |  81.315 |  -0.938   0.002   0.000 |,,,,,,,treatment,-0.011,0.011,-0.016
1020,673                               |  85.530 |  -1.019   0.002   0.000 |,,,,,,,engineers,-0.012,0.011,-0.003
1021,672                               |  78.792 |   1.353   0.004   0.000 |,,,,,,,consuming,-0.014,0.011,0.006
1022,671                               |  36.187 |  -0.960   0.002   0.001 |,,,,,,,unexpected,0.754,0.01,-0.036
1023,670                               | 129.643 |  -0.602   0.001   0.000 |,,,,,,,translation,0.13,0.01,-0.022
1024,669                               |  40.581 |  -1.082   0.002   0.001 |,,,,,,,unlike,0.021,0.01,-0.009
1025,667                               | 108.946 |  -1.276   0.003   0.000 |,,,,,,,factorizing,0.016,0.01,0.001
1026,665                               |  60.066 |  -0.913   0.002   0.000 |,,,,,,,finally,0.015,0.01,-0.023
